DATE,MPRIME
1973-01-01,6.00
1973-02-01,6.02
1973-03-01,6.30
1973-04-01,6.61
1973-05-01,7.01
1973-06-01,7.49
1973-07-01,8.30
1973-08-01,9.23
1973-09-01,9.86
1973-10-01,9.94
1973-11-01,9.75
1973-12-01,9.75
1974-01-01,9.73
1974-02-01,9.21
1974-03-01,8.85
1974-04-01,10.02
1974-05-01,11.25
1974-06-01,11.54
1974-07-01,11.97
1974-08-01,12.00
1974-09-01,12.00
1974-10-01,11.68
1974-11-01,10.83
1974-12-01,10.50
1975-01-01,10.05
1975-02-01,8.96
1975-03-01,7.93
1975-04-01,7.50
1975-05-01,7.40
1975-06-01,7.07
1975-07-01,7.15
1975-08-01,7.66
1975-09-01,7.88
1975-10-01,7.96
1975-11-01,7.53
1975-12-01,7.26
1976-01-01,7.00
1976-02-01,6.75
1976-03-01,6.75
1976-04-01,6.75
1976-05-01,6.75
1976-06-01,7.20
1976-07-01,7.25
1976-08-01,7.01
1976-09-01,7.00
1976-10-01,6.77
1976-11-01,6.50
1976-12-01,6.35
1977-01-01,6.25
1977-02-01,6.25
1977-03-01,6.25
1977-04-01,6.25
1977-05-01,6.41
1977-06-01,6.75
1977-07-01,6.75
1977-08-01,6.83
1977-09-01,7.13
1977-10-01,7.52
1977-11-01,7.75
1977-12-01,7.75
1978-01-01,7.93
1978-02-01,8.00
1978-03-01,8.00
1978-04-01,8.00
1978-05-01,8.27
1978-06-01,8.63
1978-07-01,9.00
1978-08-01,9.01
1978-09-01,9.41
1978-10-01,9.94
1978-11-01,10.94
1978-12-01,11.55
1979-01-01,11.75
1979-02-01,11.75
1979-03-01,11.75
1979-04-01,11.75
1979-05-01,11.75
1979-06-01,11.65
1979-07-01,11.54
1979-08-01,11.91
1979-09-01,12.90
1979-10-01,14.39
1979-11-01,15.55
1979-12-01,15.30
1980-01-01,15.25
1980-02-01,15.63
1980-03-01,18.31
1980-04-01,19.77
1980-05-01,16.57
1980-06-01,12.63
1980-07-01,11.48
1980-08-01,11.12
1980-09-01,12.23
1980-10-01,13.79
1980-11-01,16.06
1980-12-01,20.35
1981-01-01,20.16
1981-02-01,19.43
1981-03-01,18.05
1981-04-01,17.15
1981-05-01,19.61
1981-06-01,20.03
1981-07-01,20.39
1981-08-01,20.50
1981-09-01,20.08
1981-10-01,18.45
1981-11-01,16.84
1981-12-01,15.75
1982-01-01,15.75
1982-02-01,16.56
1982-03-01,16.50
1982-04-01,16.50
1982-05-01,16.50
1982-06-01,16.50
1982-07-01,16.26
1982-08-01,14.39
1982-09-01,13.50
1982-10-01,12.52
1982-11-01,11.85
1982-12-01,11.50
1983-01-01,11.16
1983-02-01,10.98
1983-03-01,10.50
1983-04-01,10.50
1983-05-01,10.50
1983-06-01,10.50
1983-07-01,10.50
1983-08-01,10.89
1983-09-01,11.00
1983-10-01,11.00
1983-11-01,11.00
1983-12-01,11.00
1984-01-01,11.00
1984-02-01,11.00
1984-03-01,11.21
1984-04-01,11.93
1984-05-01,12.39
1984-06-01,12.60
1984-07-01,13.00
1984-08-01,13.00
1984-09-01,12.97
1984-10-01,12.58
1984-11-01,11.77
1984-12-01,11.06
1985-01-01,10.61
1985-02-01,10.50
1985-03-01,10.50
1985-04-01,10.50
1985-05-01,10.31
1985-06-01,9.78
1985-07-01,9.50
1985-08-01,9.50
1985-09-01,9.50
1985-10-01,9.50
1985-11-01,9.50
1985-12-01,9.50
1986-01-01,9.50
1986-02-01,9.50
1986-03-01,9.10
1986-04-01,8.83
1986-05-01,8.50
1986-06-01,8.50
1986-07-01,8.16
1986-08-01,7.90
1986-09-01,7.50
1986-10-01,7.50
1986-11-01,7.50
1986-12-01,7.50
1987-01-01,7.50
1987-02-01,7.50
1987-03-01,7.50
1987-04-01,7.75
1987-05-01,8.14
1987-06-01,8.25
1987-07-01,8.25
1987-08-01,8.25
1987-09-01,8.70
1987-10-01,9.07
1987-11-01,8.78
1987-12-01,8.75
1988-01-01,8.75
1988-02-01,8.51
1988-03-01,8.50
1988-04-01,8.50
1988-05-01,8.84
1988-06-01,9.00
1988-07-01,9.29
1988-08-01,9.84
1988-09-01,10.00
1988-10-01,10.00
1988-11-01,10.05
1988-12-01,10.50
1989-01-01,10.50
1989-02-01,10.93
1989-03-01,11.50
1989-04-01,11.50
1989-05-01,11.50
1989-06-01,11.07
1989-07-01,10.98
1989-08-01,10.50
1989-09-01,10.50
1989-10-01,10.50
1989-11-01,10.50
1989-12-01,10.50
1990-01-01,10.11
1990-02-01,10.00
1990-03-01,10.00
1990-04-01,10.00
1990-05-01,10.00
1990-06-01,10.00
1990-07-01,10.00
1990-08-01,10.00
1990-09-01,10.00
1990-10-01,10.00
1990-11-01,10.00
1990-12-01,10.00
1991-01-01,9.52
1991-02-01,9.05
1991-03-01,9.00
1991-04-01,9.00
1991-05-01,8.50
1991-06-01,8.50
1991-07-01,8.50
1991-08-01,8.50
1991-09-01,8.20
1991-10-01,8.00
1991-11-01,7.58
1991-12-01,7.21
1992-01-01,6.50
1992-02-01,6.50
1992-03-01,6.50
1992-04-01,6.50
1992-05-01,6.50
1992-06-01,6.50
1992-07-01,6.02
1992-08-01,6.00
1992-09-01,6.00
1992-10-01,6.00
1992-11-01,6.00
1992-12-01,6.00
1993-01-01,6.00
1993-02-01,6.00
1993-03-01,6.00
1993-04-01,6.00
1993-05-01,6.00
1993-06-01,6.00
1993-07-01,6.00
1993-08-01,6.00
1993-09-01,6.00
1993-10-01,6.00
1993-11-01,6.00
1993-12-01,6.00
1994-01-01,6.00
1994-02-01,6.00
1994-03-01,6.06
1994-04-01,6.45
1994-05-01,6.99
1994-06-01,7.25
1994-07-01,7.25
1994-08-01,7.51
1994-09-01,7.75
1994-10-01,7.75
1994-11-01,8.15
1994-12-01,8.50
1995-01-01,8.50
1995-02-01,9.00
1995-03-01,9.00
1995-04-01,9.00
1995-05-01,9.00
1995-06-01,9.00
1995-07-01,8.80
1995-08-01,8.75
1995-09-01,8.75
1995-10-01,8.75
1995-11-01,8.75
1995-12-01,8.65
1996-01-01,8.50
1996-02-01,8.25
1996-03-01,8.25
1996-04-01,8.25
1996-05-01,8.25
1996-06-01,8.25
1996-07-01,8.25
1996-08-01,8.25
1996-09-01,8.25
1996-10-01,8.25
1996-11-01,8.25
1996-12-01,8.25
1997-01-01,8.25
1997-02-01,8.25
1997-03-01,8.30
1997-04-01,8.50
1997-05-01,8.50
1997-06-01,8.50
1997-07-01,8.50
1997-08-01,8.50
1997-09-01,8.50
1997-10-01,8.50
1997-11-01,8.50
1997-12-01,8.50
1998-01-01,8.50
1998-02-01,8.50
1998-03-01,8.50
1998-04-01,8.50
1998-05-01,8.50
1998-06-01,8.50
1998-07-01,8.50
1998-08-01,8.50
1998-09-01,8.49
1998-10-01,8.12
1998-11-01,7.89
1998-12-01,7.75
1999-01-01,7.75
1999-02-01,7.75
1999-03-01,7.75
1999-04-01,7.75
1999-05-01,7.75
1999-06-01,7.75
1999-07-01,8.00
1999-08-01,8.06
1999-09-01,8.25
1999-10-01,8.25
1999-11-01,8.37
1999-12-01,8.50
2000-01-01,8.50
2000-02-01,8.73
2000-03-01,8.83
2000-04-01,9.00
2000-05-01,9.24
2000-06-01,9.50
2000-07-01,9.50
2000-08-01,9.50
2000-09-01,9.50
2000-10-01,9.50
2000-11-01,9.50
2000-12-01,9.50
2001-01-01,9.05
2001-02-01,8.50
2001-03-01,8.32
2001-04-01,7.80
2001-05-01,7.24
2001-06-01,6.98
2001-07-01,6.75
2001-08-01,6.67
2001-09-01,6.28
2001-10-01,5.53
2001-11-01,5.10
2001-12-01,4.84
2002-01-01,4.75
2002-02-01,4.75
2002-03-01,4.75
2002-04-01,4.75
2002-05-01,4.75
2002-06-01,4.75
2002-07-01,4.75
2002-08-01,4.75
2002-09-01,4.75
2002-10-01,4.75
2002-11-01,4.35
2002-12-01,4.25
2003-01-01,4.25
2003-02-01,4.25
2003-03-01,4.25
2003-04-01,4.25
2003-05-01,4.25
2003-06-01,4.22
2003-07-01,4.00
2003-08-01,4.00
2003-09-01,4.00
2003-10-01,4.00
2003-11-01,4.00
2003-12-01,4.00
2004-01-01,4.00
2004-02-01,4.00
2004-03-01,4.00
2004-04-01,4.00
2004-05-01,4.00
2004-06-01,4.01
2004-07-01,4.25
2004-08-01,4.43
2004-09-01,4.58
2004-10-01,4.75
2004-11-01,4.93
2004-12-01,5.15
2005-01-01,5.25
2005-02-01,5.49
2005-03-01,5.58
2005-04-01,5.75
2005-05-01,5.98
2005-06-01,6.01
2005-07-01,6.25
2005-08-01,6.44
2005-09-01,6.59
2005-10-01,6.75
2005-11-01,7.00
2005-12-01,7.15
2006-01-01,7.26
2006-02-01,7.50
2006-03-01,7.53
2006-04-01,7.75
2006-05-01,7.93
2006-06-01,8.02
2006-07-01,8.25
2006-08-01,8.25
2006-09-01,8.25
2006-10-01,8.25
2006-11-01,8.25
2006-12-01,8.25
2007-01-01,8.25
2007-02-01,8.25
2007-03-01,8.25
2007-04-01,8.25
2007-05-01,8.25
2007-06-01,8.25
2007-07-01,8.25
2007-08-01,8.25
2007-09-01,8.03
2007-10-01,7.74
2007-11-01,7.50
2007-12-01,7.33
2008-01-01,6.98
2008-02-01,6.00
2008-03-01,5.66
2008-04-01,5.24
2008-05-01,5.00
2008-06-01,5.00
2008-07-01,5.00
2008-08-01,5.00
2008-09-01,5.00
2008-10-01,4.56
2008-11-01,4.00
2008-12-01,3.61
2009-01-01,3.25
2009-02-01,3.25
2009-03-01,3.25
2009-04-01,3.25
2009-05-01,3.25
2009-06-01,3.25
2009-07-01,3.25
2009-08-01,3.25
2009-09-01,3.25
2009-10-01,3.25
2009-11-01,3.25
2009-12-01,3.25
2010-01-01,3.25
2010-02-01,3.25
2010-03-01,3.25
2010-04-01,3.25
2010-05-01,3.25
2010-06-01,3.25
2010-07-01,3.25
2010-08-01,3.25
2010-09-01,3.25
2010-10-01,3.25
2010-11-01,3.25
2010-12-01,3.25
2011-01-01,3.25
2011-02-01,3.25
2011-03-01,3.25
2011-04-01,3.25
2011-05-01,3.25
2011-06-01,3.25
2011-07-01,3.25
2011-08-01,3.25
2011-09-01,3.25
2011-10-01,3.25
2011-11-01,3.25
2011-12-01,3.25
2012-01-01,3.25
2012-02-01,3.25
2012-03-01,3.25
2012-04-01,3.25
2012-05-01,3.25
2012-06-01,3.25
2012-07-01,3.25
2012-08-01,3.25
2012-09-01,3.25
2012-10-01,3.25
2012-11-01,3.25
2012-12-01,3.25
2013-01-01,3.25
2013-02-01,3.25
2013-03-01,3.25
2013-04-01,3.25
2013-05-01,3.25
2013-06-01,3.25
2013-07-01,3.25
2013-08-01,3.25
2013-09-01,3.25
2013-10-01,3.25
2013-11-01,3.25
2013-12-01,3.25
2014-01-01,3.25
2014-02-01,3.25
2014-03-01,3.25
2014-04-01,3.25
2014-05-01,3.25
2014-06-01,3.25
2014-07-01,3.25
2014-08-01,3.25
2014-09-01,3.25
2014-10-01,3.25
2014-11-01,3.25
2014-12-01,3.25
2015-01-01,3.25
2015-02-01,3.25
2015-03-01,3.25
2015-04-01,3.25
2015-05-01,3.25
2015-06-01,3.25
2015-07-01,3.25
2015-08-01,3.25
2015-09-01,3.25
2015-10-01,3.25
2015-11-01,3.25
2015-12-01,3.37
2016-01-01,3.50
2016-02-01,3.50
2016-03-01,3.50
2016-04-01,3.50
2016-05-01,3.50
2016-06-01,3.50
2016-07-01,3.50
2016-08-01,3.50
2016-09-01,3.50
2016-10-01,3.50
2016-11-01,3.50
2016-12-01,3.64
2017-01-01,3.75
2017-02-01,3.75
2017-03-01,3.88
2017-04-01,4.00
2017-05-01,4.00
2017-06-01,4.13
2017-07-01,4.25
2017-08-01,4.25
2017-09-01,4.25
2017-10-01,4.25
2017-11-01,4.25
2017-12-01,4.40
2018-01-01,4.50
2018-02-01,4.50
2018-03-01,4.58
2018-04-01,4.75
2018-05-01,4.75
2018-06-01,4.89
2018-07-01,5.00
2018-08-01,5.00
2018-09-01,5.03
2018-10-01,5.25
2018-11-01,5.25
2018-12-01,5.35
2019-01-01,5.50
